"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";"buzzardLabel";50;"";;;
2;"REF**";"Symbol-Front-I2C-ADDR-Field";1;"Symbol-Front-I2C-ADDR-Field";;;
3;"REF**";"Logo-Back-SolderedFULL-17mm";1;"Logo-Front-SolderedFULL-17mm";;;
4;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
5;"Ref**";"Version1.0.0.";1;"Val**";;;
6;"G***,G***,G***,G***,G***,G***,G***,G***,G***,G***";"Logo-Front-easyC-5mm";10;"LOGO";;;
7;"G***";"Logo-Front-Soldered-6mm";1;"LOGO";;;
8;"H4,H3,H2,H1";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
9;"K2,K19,K18,K15,K14,K11,K10,K7,K6,K1";"easyC-connector";10;"easyC-SMD";;;
10;"U1";"TSSOP-24";1;"TCA9548APWR";;;
11;"R6,R5,R4,R3,R2,R1";"0603R";6;"10k";;;
12;"K17,K16,K13,K12,K9,K8,K5,K4,K3";"HEADER_MALE_4X1";9;"HEADER_MALE_4X1";;;
13;"JP3,JP2,JP1";"SMD_JUMPER";3;"SMD_JUMPER";;;
14;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
15;"C2";"1206C";1;"10u";;;
16;"C1";"0603C";1;"100n";;;
